1st Klass            	$1.5-3k  
A Few Good Men       	$2-3k    
A Static Lullaby     	$3-5k    
Alexa Ray Joel       	$5-10k   
Anna Lunoe           	$1- 5k   
Ari Hest             	$5k+     
As Tall As Lions     	$5-10k   
Authority Zero       	$3-5k    
Bag Raiders          	$7.5 -10k
Bayside              	$7-10k+
Bedouin Soundclash  	$5-10k   
Beebs & Moneymaker    	$5-10k   
Ben Kweller (solo)  	$7.5-12.5k 
Ben Lee              	$7-10k   
Beth Hart            	$7.5 -10k
Big D & the Kids Tab 	$5-7.5k  
Big Sam's Funky Nati 	$5-10k   
Black Violin         	$5-10k   
Blair Crimmins & Ho  	$3-5k    
Blessid Union of Soul	$5-10k   
Bo Bice (band)     	$7.5-12.5k 
Bo Bice (solo)       	$3.5-7.5k
BoomBox              	$2.5-5k  
Brooke Waggoner      	$1.5-3k  
Charlie Robison      	$7-10k   
Charlie Worsham      	$5-10k   
Chester French       	$7.5-15k 
China Hawk           	$1.5-2.5k
Chris Webby          	$8.5-15k 
Confederate Railroad 	$7.5k    
Connor Cruise        	 $5k     
Cowboy Troy          	$3.5-10k 
Coyote Kisses        	$5k - 10k
Dar Williams	$7.5-10k+   
Darry Miller & Veil  	$3-5k     
Dave Barnes          	$7-10k    
Dave Matthews Trib  	$5-10k    
Days Difference      	$5-10k    
Dead Confederate     	$2.5-5k   
Dear Tick            	$5-10k    
Dirt Dozen Brass Ban 	$10k      
Dirty Heads          	$5-10k    
DJ Earworm           	$7-10k+  
DJ Farcoh            	$5-10k    
DJ Green Lantern     	$5-10k    
DJ Logic             	$4-7k     
DJ Skribble          	$7-10k    
Dennis               	$3.5-5k   
Drew Davis Band      	$5-10k    
Dropping Daylight    	$5-10k    
E-603                	$3-4k     
Evans Blue           	$5-10k+  
Every Avenue         	$5k+     
Fang Island          	$5-10k    
Flatbush Zombies    	$5k     
G-Eazy               	$5-7k     
Glen Phillips        	$5-10k    
Graham Colton        	$3.5-5k   
Green River Ordinanc 	$7.5-10k  
Griffin House        	$3-5k     
Ingram Hill          	$4-10k    
It Boys              	$7-10k    
James Bay            	$5-15k    
Jason Adamo Band     	$1-2k     
Jeff The Brotherhood 	$7.5-15k  
Jeffrey Gaines       	$3-5k     
Jill Sobule	$5k+ 
Jimmie's Chicken Sha	$3-7k
Joel Levi           	$2-5k
Josh Hogue          	$2.5-5k
Josh Kelley         	$8.5-15k
Kaki King           	$5k+
Kat Deluna          	$8-10k
Kelleigh Bannen     	$5-7.5k
Kelly Bell Band     	$2.5-5k
Kill Hannah          	$5-7k
Kina Grannis        	$5-10k
Kings X             	$5-7.5k
Kitty Pryde         	 $5k
LA Riots            	 $5k
Lloyd Dobler Effect 	$2-5k
Lord T. & Eloise    	$2.5-5k
LP                  	$7.5k
Luke Christopher    	$5k+
Maps & Atlasas      	$3-5k
Margo & the Nuclear 	$5-10k
Mason Jennings      	$7-10k
Matt Costa          	$7-10k
Matt Wertz          	$7-10k
MC Chris            	$4-6k
MC Lars             	$2.5-5k
Menomena            	$7-10k
Michael Glabicki    	$3-5k
Michael Tolcher     	$3-5k
Mike Doughty        	$7-10k
Moon Taxi           	$5-10k
Nappy Roots         	$5-10k
Natalie Stovall     	$5-10k
Navid Izadi         	$5-10k
Nelly's Echo         	$1.5-2k  
NexCyx               	$3-5k    
Nick Monaco          	$5- 10k  
One Eskimo           	$8-15k   
Pat McGee Band       	$5-10k   
People Under the Stai	$7-10k   
Philip 7             	$3-5k    
Phosphorescent       	$7.5k    
PM Dawm              	$5-10k   
Quietdrive           	$5-10k   
Ratking              	$2.5k    
Red Wanting Blue     	$5-10k   
Rehab                	$7-15k   
Ryan Cabrera         	$7-10k   
Ryan Star            	$7-10k+ 
Rye Rye              	 $5k     
SafetySuit           	$7.5-15k 
Scarletta            	$2-5k    
Scary Kids Scaring K	$5-10k   
Scratch & Haag       	$2-5k    
Secret Machines      	$8-10k   
Sierra Leone's Rufuge	$10k     
Soka Kartel          	$3-5k    
Sons of Sylvia       	$5-10k+  
Sponge               	$7-10k   
Spring Standards     	$5-10k   
Stephen Kellogg      	$7-10k   
Street Dogs          	$7.5k    
Street Drum Corps    	$5-10k   
Stroke 9             	$7-10k   
Teddy Geiger         	$5-10k  
The 88               	$5k+     
The Almost           	$8-10k+ 
The Alternate Routes 	$5-10k 
The Bodeen           	$10k
The Cab              	$7.5-12.5k
The Connells         	$7.5-12.5k
The Crickets         	$10-20k
The Daylights        	$3-10k
The English Beat     	$5-10k
The Gay Blades       	$3-5k
The Lonely Forest    	 $5k
The Lost Trailers    	$7-10k
The Stone Foxes      	 $5k
The Toasters         	$3-5k
The Trews            	$3-5k
The Verve Pipe       	$7-10k
The Well Reds        	$1-2k
The Working Title    	$2.5-5k
This Providence      	 $5k
Tipper               	$7.5k
Triving Ivory        	$7.5-10k
Tyler Hilton         	$5-10k
Tyler James          	$2.5-5k
Uncle Lucius         	 $5k
VersaEmerge          	$5k+
Vienna Teng          	$5-10k
Wallpaper            	$5-10k
Wavves               	$5-10k
We Are Scientists    	$7-10k+
We Are The Fallen    	$5-10k
Westland             	$1k+
What Made Milwauke   	 $5k
Wheeler Brothers     	 $5k
Who's Bad            	$7.5-10k
Will Hoge            	$7.5-10k+